Id,Designator,Footprint,Quantity,Designation,Supplier and ref,,Have,Need,to Buy,,On order
1,"C1,C39,C38,C16,C51,C55,C14,C41,C17,C52,C24,C53,C57,C6,C22,C37,C15",603.0_C,17,100.0n,,,39,34,0,,0,0,,,0
2,"C25,C11,C54,C23,C35,C42,C2,C56,C8,C13,C19,C21,C9,C36,C7,C40,C34,C10,C20",603.0_C,19,10.0u,,,83,38,0,,0,0,,,0
3,"J2, pot_J1",FH19C-4S-0.5SH(10),2,4_Pin_Zif,,,4,4,0,,0,0,,,0
4,"5V1,SCL1,5V2,SDA1,12V1,GND1,3V3",TestPoint_Pad_D1.0mm,7,TestPoint,,,1000,14,0,,0,0,,,0
5,Q2,TSOT-23,1,NPN,,,3,2,0,,0,0,,,0
6,"R9,R14",603.0_R,2,36.0K,,,8,4,0,,0,0,,,0
7,"D13,D12,D9,D11,D10,D14",LTST_Diode,6,LED,,,13,12,0,,0,0,,,0
8,"C44,C47,C43,C50,C46,C45,C49,C48",402.0_C,8,100.0n,,,42,16,0,,0,0,,,0
9,C58,603.0_C,1,47.0u,,,0,2,2,,4,0,"NA, replace with 22uF",,1
10,R5,603.0_R,1,91.0K,,,8,2,0,,0,0,,,0
11,R1,603.0_R,1,200.0K,,,9,2,0,,0,0,,,0
12,"L2,L1",XGL4018_Inductor,2,4.70uH,,,0,4,4,,10,0,,,1
13,R13,805.0_R,1,0,,,0,2,2,,4,0,,,1
14,Q1,TSOT-23,1,PMOS,,,4,2,0,,0,0,,,0
15,"R17,R16",603.0_R,2,1.20K,,,8,4,0,,0,0,,,0
16,"U4,U8,U9",AP22652-DFN,3,AP22653,,,0,6,6,,10,0,,,1
17,R7,603.0_R,1,20.0K,,,9,2,0,,0,0,,,0
18,U6,TMUXHS4446,1,TMUXHS4446,,,2,2,0,,0,0,,,0
19,R2,603.0_R,1,40.0K2,,,9,2,0,,0,0,,,0
20,U7,INA234,1,INA234AxYBJ,,,0,2,2,,3,0,,,1
21,"D7,D3,D15,D2,D5,D4",ESD7L5,6,ESD7L5,,,10,12,2,,3,0,,,1
22,"R12,R23",603.0_R,2,47.0K,,,0,4,4,,10,0,,,1
23,"C32,C31,C28,C26,C27,C30,C29,C33",402.0_C,8,220.0n,,,35,16,0,,0,0,,,0
24,"C4,C3",603.0_C,2,22.0uF,,,8,4,0,,0,0,,,0
25,"R11,R22,R18,R19",603.0_R,4,270,,,0,8,8,,20,0,,,1
26,"R6,R4",603.0_R,2,30.0K,,,9,4,0,,0,0,,,0
27,"R25,R26",603.0_R,2,4.0K7,,,0,4,4,,20,0,,,1
28,"D8,D6",ESD7004,2,ESD7004,,,4,4,0,,0,0,,,0
29,J1,FH19SC-30S-0.5SH(09),1,30_Pin_Zif,,,2,2,0,,0,0,,,0
30,U1,LQFP-48_7x7mm_P0.5mm,1,STM32G0B1CETx,,,2,2,0,,0,0,,,0
31,R10,603.0_R,1,1200.0%K1,,,0,2,2,,10,0,,,1
32,R21,603.0_R,1,2.0K,,,0,2,2,,10,0,,,1
33,D1,SS3020HE,1,SS3020HE,,,0,2,2,,3,0,,,1
34,Y1,FA-128_OSC,1,0.010z,,,2,2,0,,0,0,,,0
35,"C12,C18",603.0_C,2,18.0pF,,,8,4,0,,0,0,,,0
36,R8,603.0_R,1,180.0K,,,8,2,0,,0,0,,,0
37,C5,603.0_C,1,33.0pF,,,8,2,0,,0,0,,,0
38,U2,MCP1665,1,MCP1665,,,2,2,0,,0,0,,,0
39,U5,USB2514v2,1,USB2514B,,,2,2,0,,0,0,,,0
40,U3,AP63357,1,AP63357,,,2,2,0,,0,0,,,0
41,R20,603.0_R,1,620,,,0,2,2,,10,0,,,1
42,R15,603.0_R,1,10.0K,,,9,2,0,,0,0,,,0
43,R3,612.0_R,1,16.0m,,,0,2,2,,4,0,,,1
44,R24,603.0_R,1,27.0K,,,0,2,2,,10,0,,,1
45,J3,USBA32_692121230100v2_1.6mmOut,1,USB3_A,,,2,2,0,,0,0,,,0
46,J7,2129691-2_2.8mmOut,1,2129691.0-2,,,2,2,0,,0,0,,,0
47,"J5,J4",USB1015v2_1.6mmOut,2,USB_A,,,4,4,0,,0,0,,,0
48,M5,Logo,1,eDP-Adapter,,,1000,2,0,,0,0,,,0
49,"M4,M2,M3,M1, pot_M1, port_M2, port_M3",MS04-M2-2,7,Standoff,,,14,14,0,,0,0,,,0
50,U1,RK10J12R0A0B,1,RK10J12R0A0B,,,2,2,0,,0,0,,,0
,,,,,,,,,,,,,,,15
